Title,Price,Rating,No. of Reviews,Width,Thickness,Weight,Height,Sales Package,model number,model name,Shape,Color,Touchscreen?,Water resistant?,Sensor,Battery Type,Charge Time,Battery Life,Warranty,Warranty Service Information,Covered in warranty,Not covered in warranty
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Luxury Design girls Smartwatch  (Rose Gold, Pink Strap, Regular Size)","₹1,499",275 Ratings,11 Reviews,,,,,"Smartwatch, Charging Cable, Manual",Gen-9-Smt-New-Dial-watch-332,"PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Luxury Design girls",Round,"Brown, Pink",Yes,Yes,"Heartrate, Fitness tracking, Health Monitoring",Lithium Polymer,90 min,5 Days,6 Month of Manufacturing,Contact Support: wowstoresent@gmail.com,Manufacturing Defect,
"FITBIT Versa 4 Fitness Watch 6-Month Membership Smartwatch  (Black Strap, S,L)","₹16,999",66 Ratings,0 Reviews,24.87 mm,1.12 mm,0.37 g,4.04 mm,Pack of 1 Device with 2 x Straps (Small & Large) and Charger,FB523BKBK-FRCJK,Versa 4 Fitness Watch 6-Month Membership,Square,Black,Yes,Yes,"Multi-path optical heart rate tracker l Red and infrared sensors for oxygen saturation (SpO2) monitoring l Altimeter, which tracks altitude changes l 3-axis accelerometer, which tracks motion patterns l Ambient light sensor l NFC l Built-in GPS receiver + GLONASS, which tracks your location during a workout l Vibration motor l Speaker l Microphone",Lithium Polymer,,6+ days,1 YEAR,,,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Black Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Black,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Noise Evolve 4 1.46 AMOLED Always On Display with Premium Design & Bluetooth Calling Smartwatch  (Brown Strap, Regular)","₹2,999","1,01,209 Ratings","7,631 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-evolve4-lthr-nckl_brn,Evolve 4 1.46 AMOLED Always On Display with Premium Design & Bluetooth Calling,Round,Brown,Yes,Yes,"Heart Rate, Accelerometer",,,Upto 7 days,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Silver Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Silver,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Contact : Ph : Ph : +919555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,
"Cultsport Ace XR 1.43"" Super Retina Amoled Display, 850 NITS, BT Calling, Health Tracking Smartwatch  (Green Strap, Free Size)","₹2,299",515 Ratings,45 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW07,"Ace XR 1.43"" Super Retina Amoled Display, 850 NITS, BT Calling, Health Tracking",Round,Green,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
,,,,,,,,,,,,,,,,,,,,,,
"Ambrane Wise-Roam 2, 1.39"" Full HD display BT calling and complete health tracking Smartwatch  (Green Strap, Regular)","₹1,499","7,395 Ratings",487 Reviews,,,,,1*Smartwatch & 1*Charging Cable,Wise Roam 2,"Wise-Roam 2, 1.39"" Full HD display BT calling and complete health tracking",Round,Green,Yes,Yes,"SpO2 (Real-Time Monitoring), Blood Pressure, Heart Rate, Sleep, Breath Training and Menstrual Cycle Tracking",,,10 Days,1 Year Brand Warranty,Pls reach us out on care@ambraneindia.com,Manufacturing Defects,
"boAt Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown Smartwatch  (Deep Blue Strap, Free Size)","₹1,599","8,071 Ratings",399 Reviews,,,,,"Smartwatch, Charging Cable, User Manual",Lunar Vista,"Lunar Vista w/ 3.8 cm(1.52"") HD & Always On Display,BT Calling, Functional Crown",Round,Blue,Yes,Yes,"HR, SpO2 & G-sensor",,,Upto 7 days,1 year warranty from the date of purchase,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,
"Boult Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2 Smartwatch  (Midnight Black Strap, Free Size)","₹1,799",438 Ratings,49 Reviews,38.7 mm,46.2 mm,40 g,11.5 mm,"Smartwatch, Charging Cable, User Manual, Warranty Card",Crown Pro,"Crown Pro 2.01"" AMOLED, BT Calling, Working Crown, AOD, Zinc Alloy Frame, SpO2",Square,Black,Yes,Yes,"Real Heart Rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Jet Black Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,
"Ambrane Wise-Roam 2, 1.39"" Full HD display BT calling and complete health tracking Smartwatch  (Black Strap, Regular)","₹1,499","7,395 Ratings",487 Reviews,,,,,1*Smartwatch & 1*Charging Cable,Wise Roam 2,"Wise-Roam 2, 1.39"" Full HD display BT calling and complete health tracking",Round,Black,Yes,Yes,"SpO2 (Real-Time Monitoring), Blood Pressure, Heart Rate, Sleep, Breath Training and Menstrual Cycle Tracking",,,10 Days,1 Year Brand Warranty,Pls reach us out on care@ambraneindia.com,Manufacturing Defects,
"Fastrack Dezire FX1 Luxury Metal with 1.38'' HD Display|Functional Crown|BT Calling|60 Hz Smartwatch  (Steel Strap, Free Size)","₹2,499",257 Ratings,8 Reviews,45 mm,12.5 mm,116 g,51.9 mm,"Smartwatch, Charging Cable, Quick Start Guide, Warranty Card",38126SM01,Dezire FX1 Luxury Metal with 1.38'' HD Display|Functional Crown|BT Calling|60 Hz,Round,Silver,Yes,Yes,Accelerometer,Lithium Polymer,120 min,5 Days,1 Year Limited Warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Chrome Rig Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"SAMSUNG Galaxy Watch7 44mm LTE  (Green Strap, Large)","₹36,499",468 Ratings,46 Reviews,44.4 mm,9.7 mm,33.8 g,44.4 mm,"Galaxy Watch 7, Sports Band, Wireless Charger",SM-L315F,Galaxy Watch7 44mm LTE,Round,Green,Yes,Yes,"Accelerometer, Gyro Sensor, Barometer, Ambient Light, Compass, Temperature",Lithium Ion,79 min,Up to 100 hrs,1 Year Manufacturer Warranty,,Manufacturing Defects,
"Boult Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2 Smartwatch  (Inox Steel Strap, Free Size)","₹1,799","10,123 Ratings",624 Reviews,46 mm,11.9 mm,106 g,286 mm,"Smartwatch, Charging Cable, Warranty Card, Strap Adjusting Tool, User Manual",Mirage,"Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2",Round,Silver,Yes,Yes,"Real Heart Rate, SPO2, Pedometer",Lithium Polymer,120 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any kind of Technical Issue,
"Fire-Boltt Lumos 48.5mm (1.91 inch) Display, BT Call, Steel Design, 100+ Sports Modes Smartwatch  (Gold-M Strap, Free Size)","₹1,499","16,636 Ratings","1,665 Reviews",40.9 mm,12.4 mm,60 g,12.4 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW171,"Lumos 48.5mm (1.91 inch) Display, BT Call, Steel Design, 100+ Sports Modes",Square,Gold,Yes,Yes,"SpO2, Heart Rate Sensor",Lithium Ion,120 min,Upto 7 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,
"Cultsport Ace X 1.96"" AMOLED, Premium Metallic Build, AOD, BT Calling, Live Cricket Score Smartwatch  (Black Strap, Free Size)","₹2,299",184 Ratings,7 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW05,"Ace X 1.96"" AMOLED, Premium Metallic Build, AOD, BT Calling, Live Cricket Score",Rectangle,Black,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"PunnkFunnk H20 AMAZING BOOM COMBO Touch Watch Golden with 6 Strap Extra and 1 TWS Smartwatch  (Active Black Strap, Free Size)","₹1,199",523 Ratings,15 Reviews,,,100 g,,Smartwatch,H20,H20 AMAZING BOOM COMBO Touch Watch Golden with 6 Strap Extra and 1 TWS,Rectangle,Black,Yes,Yes,Fitness Health Sports G-sensor,Lithium Polymer,100 min,3 Days after proper use and Normal Use 7 Days,3 month warranty,"Carry on warranty
Contact no - bellstartrading2012@gmail.com",Manufacturing Defects,
"Titan Smart 3|1.96'' AMOLED Display|SingleSync BT Calling|Fast Charging|110+ Sports Smartwatch  (Black Strap, Free Size)","₹4,995","1,014 Ratings",62 Reviews,37.3 mm,10.9 mm,47 g,52 mm,Watch Head::Watch Strap::Charging Cable::Quick Start Guide::Warranty Card,90188AP01,Smart 3|1.96'' AMOLED Display|SingleSync BT Calling|Fast Charging|110+ Sports,Rectangle,Black,Yes,Yes,Accelerometer,Lithium Polymer,60 min,Upto 7 days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Fastrack Pro with 1.43"" Display & AOD(466x466),Functional Crown,BT Calling Smartwatch  (Blue Strap, Free Size)","₹2,199","24,855 Ratings","1,565 Reviews",46.6 mm,9.9 mm,41.8 g,46.6 mm,"Watch, Charging Cable, Quick Start Guide, Warranty Card",38087PP02,"Pro with 1.43"" Display & AOD(466x466),Functional Crown,BT Calling",Round,Blue,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,150 min,Upto 5 Days,1 Year Limited warranty,customer care at 1800-266-0123,Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Orange Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Orange,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"IAIR W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode | Smartwatch  (Nature Black Strap, Standard)",₹748,78 Ratings,21 Reviews,,,,,"1 Smartwatch, 1 Charging cable, 1 User Manual",W5 Pro,W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode |,Square,"Black, Multicolor",Yes,Yes,Gesture Sensor,Lithium Polymer,60 min,3-4 days,,,,
"Fastrack Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS Smartwatch  (Grey Strap, Free Size)","₹2,298","24,855 Ratings","1,565 Reviews",52 mm,11.5 mm,52 g,46 mm,"Smartwatch, Charging Cable, Quick Start Guide",38153SP01,"Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS",Round,Grey,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,120 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Fastrack Revoltt XR1 35mm,Round HD Display,SingleSync BT Calling,Advance Chipset Smartwatch  (Beige Strap, Free Size)","₹1,398","49,865 Ratings","2,179 Reviews",46.4 mm,10.7 mm,45 g,52.5 mm,"Smartwatch, Charging Cable, Quick Start Guide",38088PP05K,"Revoltt XR1 35mm,Round HD Display,SingleSync BT Calling,Advance Chipset",Round,Beige,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,120 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Silver Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Silver,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch  (Elite Black Strap, Regular)","₹1,698","1,24,156 Ratings","7,821 Reviews",,,,,pack of 1,wrb-sw-crew-mattemtlA-blk_blk,"Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating",Round,Black,Yes,Yes,"Heart Rate, Sp02, Sleep Monitor, Stress",,,7 Days,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,
"Boult Sterling 1.52"" Rugged & Shock Proof Design, BT Calling, 700 Nits, Metallic Frame Smartwatch  (Carbon Copper Strap, Free Size)","₹1,299","11,738 Ratings",907 Reviews,50.9 mm,13.1 mm,54 g,262 mm,"Smartwatch, Charging Cable, Warranty Card, User Manual",Sterling,"Sterling 1.52"" Rugged & Shock Proof Design, BT Calling, 700 Nits, Metallic Frame",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Functional Crown Smartwatch  (Elite Silver Strap, Regular)","₹1,599","7,526 Ratings",588 Reviews,,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon3plus-mtl-slvr_slvr,"Icon 3 Plus with 2"" HD Display, Metal Dial, Functional Crown",Rectangle,Silver,Yes,Yes,"Heart Rate, SpO2",,,Upto 7 days,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,
"Pebble Mega 2.06""Amoled Display,BT Calling,Premium Metal Built,Health Suite Smartwatch  (Jet Black Strap, Free Size)","₹2,699",522 Ratings,33 Reviews,57 mm,11.1 mm,66 g,97 mm,"1N Smartwatch, 1N Magnectic Charger, 1N User Manual, 1N Warranty Card",PFB210,"Mega 2.06""Amoled Display,BT Calling,Premium Metal Built,Health Suite",Rectangle,Black,Yes,Yes,JX626,Lithium Polymer,120 min,Upto 5 Days,1 Year Warranty,Offsite Warranty,Manufacturing Defects,
"Pebble Mega 2.06""Amoled Display,BT Calling,Premium Metal Built,Health Suite Smartwatch  (Midnight Gold Strap, Free Size)","₹2,699",522 Ratings,33 Reviews,57 mm,11.1 mm,66 g,97 mm,"1N Smartwatch, 1N Magnectic Charger, 1N User Manual, 1N Warranty Card",PFB210,"Mega 2.06""Amoled Display,BT Calling,Premium Metal Built,Health Suite",Rectangle,Gold,Yes,Yes,JX626,Lithium Polymer,120 min,Upto 5 Days,1 Year Warranty,Offsite Warranty,Manufacturing Defects,
